timestamp,IFPID,Outcome,User ID,Screen Name,IP addr,Op Type,Order ID,isBuy,isLong,With MM,By Agent,Matching Order ID,Matching User ID,Matching Screen Name,Order Price,Order Qty,Trade Price,Trade Qty,Low Fuse,Max Bid,Min Ask,High Fuse,Min Qty,Divest Only
2020-05-01 18:36:45,"SP2K3K","a",1352,"fuliang","89.86.27.31","trade",1365872,true,true,,false,1366261,2392,"pauldefts",79,0,79,100,,,,,,
2020-05-01 18:36:45,"SP2K3K","a",2392,"pauldefts","80.215.223.21","orderCreate",1366261,false,true,,false,,,,78,1030,,,,,,,,
2020-05-01 18:36:54,"SP2K3K","a",2392,"pauldefts","80.215.223.21","orderCancel",1362143,true,true,,false,,,,73,1000,,,,,,,,
2020-05-01 18:57:16,"SP2K3K","a",3860,"freaksforum.com","174.73.204.239","orderCreate",1366270,true,true,,false,,,,79,60,,,,,,,,
2020-05-01 21:15:52,"SP2K3K","a",15433,"kart36","177.25.201.54","orderCreate",1366287,true,true,,false,,,,80,1000,,,,,,,,
2020-05-02 00:31:35,"SP2K3K","a",128280,"pedrick","107.171.242.17","orderCreate",1366295,false,true,,false,,,,89,150,,,,,,,,
2020-05-02 04:01:28,"SP2K3K","a",1352,"fuliang","176.167.117.72","orderCreate",1366401,false,true,,false,,,,86,100,,,,,,,,
2020-05-02 04:26:02,"SP2K3K","a",1352,"fuliang","176.167.117.72","orderCreate",1366410,true,true,,false,,,,81,100,,,,,,,,
2020-05-02 04:26:17,"SP2K3K","a",1352,"fuliang","176.167.117.72","orderCancel",1366401,false,true,,false,,,,86,100,,,,,,,,
2020-05-02 04:26:36,"SP2K3K","a",1352,"fuliang","176.167.117.72","orderCreate",1366411,false,true,,false,,,,87,100,,,,,,,,
2020-05-02 11:11:08,"SP2K3K","a",1352,"fuliang","176.167.117.72","trade",1366411,false,true,,false,1366536,129080,"0192azer",87,90,87,10,,,,,,
2020-05-02 11:11:08,"SP2K3K","a",129080,"0192azer","82.237.166.203","trade",1366536,true,true,,false,1366411,1352,"fuliang",87,0,87,10,,,,,,
2020-05-02 11:11:08,"SP2K3K","a",129080,"0192azer","82.237.166.203","orderCreate",1366536,true,true,,false,,,,87,10,,,,,,,,
2020-05-02 11:11:25,"SP2K3K","a",1352,"fuliang","176.167.117.72","trade",1366411,false,true,,false,1366537,129080,"0192azer",87,80,87,10,,,,,,
2020-05-02 11:11:25,"SP2K3K","a",129080,"0192azer","82.237.166.203","trade",1366537,true,true,,false,1366411,1352,"fuliang",87,0,87,10,,,,,,
2020-05-02 11:11:25,"SP2K3K","a",129080,"0192azer","82.237.166.203","orderCreate",1366537,true,true,,false,,,,87,10,,,,,,,,
2020-05-02 11:11:59,"SP2K3K","b",129080,"0192azer","82.237.166.203","orderCreate",1366538,true,true,,false,,,,19,10,,,,,,,,
2020-05-02 11:11:59,"SP2K3K","b",2,"synt","5.49.164.229","trade",1366540,false,true,,false,1366538,129080,"0192azer",19,0,19,10,,,,,,
2020-05-02 11:11:59,"SP2K3K","b",129080,"0192azer","82.237.166.203","trade",1366538,true,true,,false,1366540,2,"synt",19,0,19,10,,,,,,
2020-05-02 11:11:59,"SP2K3K","a",2,"synt","5.49.164.229","trade",1366539,false,true,,false,1366410,1352,"fuliang",81,0,81,10,,,,,,
2020-05-02 11:11:59,"SP2K3K","a",1352,"fuliang","176.167.117.72","trade",1366410,true,true,,false,1366539,2,"synt",81,90,81,10,,,,,,
2020-05-02 15:20:24,"SP2K3K","a",1352,"fuliang","176.167.117.72","trade",1366411,false,true,,false,1366560,129881,"gilbellosta",87,8,87,72,,,,,,
2020-05-02 15:20:24,"SP2K3K","a",129881,"gilbellosta","139.47.97.0","trade",1366560,true,true,,false,1366411,1352,"fuliang",87,0,87,72,,,,,,
2020-05-02 15:20:24,"SP2K3K","a",129881,"gilbellosta","139.47.97.0","orderCreate",1366560,true,true,,false,,,,87,72,,,,,,,,
2020-05-02 16:52:09,"SP2K3K","a",1352,"fuliang","176.167.117.72","orderCreate",1366572,true,true,,false,,,,81,200,,,,,,,,
2020-05-02 16:52:17,"SP2K3K","a",1352,"fuliang","176.167.117.72","orderCancel",1366410,true,true,,false,,,,81,90,,,,,,,,
2020-05-02 16:52:29,"SP2K3K","a",1352,"fuliang","176.167.117.72","orderCancel",1366411,false,true,,false,,,,87,8,,,,,,,,
2020-05-02 16:53:00,"SP2K3K","a",1352,"fuliang","176.167.117.72","orderCreate",1366573,false,true,,false,,,,87,223,,,,,,,,
2020-05-03 12:29:29,"SP2K3K","a",1352,"fuliang","212.195.7.162","trade",1366573,false,true,,false,1366838,127750,"sandro",87,205,87,18,,,,,,
2020-05-03 12:29:29,"SP2K3K","a",127750,"sandro","69.119.197.24","trade",1366838,true,true,,false,1366573,1352,"fuliang",87,0,87,18,,,,,,
